pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuál es el segundo río más largo de Argentina?,Río Bermejo,Río Uruguay,Río Colorado,Río Paraguay,2
¿En qué provincia se encuentra el Parque Nacional Talampaya?,La Rioja,San Juan,Mendoza,Catamarca,1
¿Qué ciudad es conocida como 'La Perla del Atlántico'?,Mar del Plata,Necochea,Pinamar,Miramar,1
¿En qué provincia está ubicada la ciudad de Villa Carlos Paz?,San Luis,Mendoza,Santa Fe,Córdoba,4
¿Qué presidente argentino asumió en 2015?,Cristina Fernández de Kirchner,Alberto Fernández,Mauricio Macri,Eduardo Duhalde,3
¿Qué provincia argentina limita con Chile y Bolivia?,Jujuy,Salta,Catamarca,La Rioja,1
¿Cuál es el aeropuerto internacional más importante de Argentina?,Aeroparque Jorge Newbery,El Palomar,Aeropuerto de Ezeiza,Aeropuerto de Córdoba,3
¿En qué año se aprobó el voto femenino en Argentina?,1947,1955,1932,1960,1
¿Cuál de estas provincias NO forma parte de la región del NOA?,Tucumán,Salta,Corrientes,Jujuy,3
¿Qué significa el nombre 'Iguazú'?,Río de los peces,Gran agua,Selva infinita,Valle sagrado,2
¿En qué provincia se ubica la Quebrada de Humahuaca?,Salta,Catamarca,Jujuy,La Rioja,3
¿Qué prócer aparece en el billete de 100 pesos emitido en 2012?,José de San Martín,Eva Perón,Manuel Belgrano,Bartolomé Mitre,2
¿Cuál es la bebida alcohólica tradicional del noroeste argentino?,Caña,Chicha,Fernet,Cerveza,2
¿Qué provincia es famosa por la Fiesta Nacional de la Vendimia?,San Juan,La Rioja,Mendoza,Neuquén,3
¿Cuál de estos escritores NO es argentino?,Julio Cortázar,Gabriel García Márquez,Jorge Luis Borges,Manuel Puig,2
¿Qué provincia argentina se destaca por el turismo termal?,Entre Ríos,Chaco,Santa Fe,Corrientes,1
¿Qué importante científico argentino descubrió el mecanismo de las vacunas combinadas?,Bernardo Houssay,Luis Leloir,César Milstein,Rene Favaloro,3
¿Qué equipo ganó la Copa Libertadores 2018?,Independiente,Boca Juniors,River Plate,San Lorenzo,3
¿Cuál es la provincia con mayor producción de yerba mate?,Corrientes,Misiones,Formosa,Chaco,2
¿Qué provincia argentina tiene la mayor producción de vino?,San Juan,Mendoza,La Rioja,Catamarca,2
¿En qué provincia argentina se encuentra el Glaciar Perito Moreno?,Tierra del Fuego,Neuquén,Chubut,Santa Cruz,4
¿Qué cordillera cruza el oeste argentino?,Sierras de Córdoba,Precordillera,Andes,Sierras Subandinas,3
¿Quién fue el primer presidente de la Nación Argentina?,Domingo F. Sarmiento,Bernardino Rivadavia,Manuel Belgrano,Juan Manuel de Rosas,2
¿Cuál es la capital de la provincia de Chubut?,Rawson,Esquel,Comodoro Rivadavia,Puerto Madryn,1
¿Qué provincia es famosa por las Cataratas del Iguazú?,Misiones,Corrientes,Formosa,Chaco,1
¿En qué provincia se realiza la Fiesta Nacional del Chamamé?,Corrientes,Entre Ríos,Formosa,Chaco,1
¿Cuál de estos animales es símbolo de la región patagónica?,Guanaco,Yacaré,Carpincho,Mono,1
¿Qué ciudad argentina es conocida como “La Docta”?,Rosario,Mendoza,Córdoba,Salta,3
¿En qué provincia está ubicada la Cueva de las Manos?,Santa Cruz,Neuquén,Río Negro,Chubut,1
¿Quién fue el creador de la bandera argentina?,José de San Martín,Juan Manuel de Rosas,Manuel Belgrano,Bartolomé Mitre,3
